Vernier Format 2
CME.cmbl 2/14/2024 19:19:08 .
Latest
Time	GateState	STime	SDist	SVel	SAccel
t	State	stime	sdist	svel	saccel
s		s	m	m/s	m/s^2

0.0510844	0	0.112034	0	 	 
0.0828836	1	0.168084	0.015	0.279752622481	0.432985707177
0.1121968	0	0.2196454	0.03	0.303620031983	0.492800229676
0.1411844	1	0.267213	0.045	0.326347844848	0.462800341507
0.1680836	0	0.3117686	0.06	0.346527039061	0.442997996426
0.1949836	1	0.3539196	0.075	0.365710851254	0.467244332008
0.2196064	0	0.3939138	0.09	0.384407998194	0.467748588949
0.2443072	1	0.43205	0.105	0.40201742415	0.455753278388
0.267384	0	0.4686044	0.12	0.41842100115	0.441735231853
0.2901188	1	0.5037996	0.135	0.434207730419	0.455360353308
0.311884	0	0.5377412	0.15	0.448520568935	0.388019953812
0.3334184	1	0.5707142	0.165	0.460499140063	0.33854851906
0.3539076	0	0.6029066	0.18	0.473497112289	0.468969542724
0.3744208	1	0.6341038	0.195	0.488454423584	0.489918517427
0.393892	0	0.664354	0.21	0.503136477676	0.480789384797
0.4134068	1	0.693754	0.225	0.517895315856	0.523213212469
0.4319192	0	0.7223056	0.24	0.532155644615	0.475703048574
0.4506932	1	0.7501464	0.255	0.545009409111	0.447673039416
0.46851	0	0.7773646	0.27	0.557015061571	0.434505242798
0.4865156	1	0.8040168	0.285	0.568243064686	0.408052078204
0.5036836	0	0.8301684	0.3	0.578076893227	0.34401116383
0.5210836	1	0.8559192	0.315	0.586657657705	0.322435274958
0.537584	0	0.8813106	0.33	0.596194383051	0.428742316401
0.5543988	1	0.9062466	0.345	0.607105041515	0.446350598524
0.5704836	0	0.9307336	0.36	0.618751809693	0.50491073842
0.5870296	1	0.9547408	0.375	0.631621653211	0.567254571798
0.6026836	0	0.9782412	0.39	0.643969335916	0.48359415457
0.6187836	1	1.001334	0.405	0.655227157458	0.49141290754
0.6340836	0	1.0240336	0.42	0.665247025057	0.391410366853
0.649424	1	1.046434	0.435	0.673341375205	0.331286562429
0.6642972	0	1.0685902	0.45	0.680181080082	0.286121194991
0.679284	1	1.0905418	0.465	0.686228063033	0.264816590968
0.6936836	0	1.112309	0.48	0.693968624173	0.446396715268
0.708224	1	1.1337756	0.495	0.703573616972	0.448481169379
0.7221844	0	1.1549524	0.51	0.714095383438	0.545225761387
0.7363872	1	1.1757922	0.525	0.725794610429	0.577551519688
0.7500196	0	1.196292	0.54	0.737337379225	0.548583251924
0.7639056	1	1.2164838	0.555	0.741806169723	-0.105949063979
0.7772836	0	1.236734	0.57	0.733632930914	-0.701276425987
0.7908236	1	1.257384	0.585	0.720996688231	-0.522572744347
0.8038844	0	1.2783478	0.6	0.710733410554	-0.456570128272
0.81721	1	1.2995978	0.615	0.70272002905	-0.297630483856
0.8300296	0	1.3210408	0.63	0.696983221714	-0.237444583664
0.8431268	1	1.3426416	0.645	0.692152261364	-0.209849993387
0.8557108	0	1.3643848	0.66	0.6905741908	0.0646946746197
0.8687116	1	1.3860838	0.675	0.694489994358	0.296225511333
0.8810968	0	1.4075838	0.69	0.697687399318	0.00120750824918
0.8939096	1	1.429083	0.705	0.689775046453	-0.737267721215
0.9061836	0	1.451088	0.72	0.571294281965	-10.0312634752
0.9185836	1	1.4921394	0.735	0.302728666305	-3.05309494665
0.9306844	0	1.5889368	0.75	0.133022840786	-0.453317942944
0.9428836	1	1.7412062	0.765	0.0915139234736	-0.091885719935
0.9546832	0	1.9214202	0.78	0.0780509686458	-0.0575250342555
0.966598	1	2.1295682	0.795	 	 
0.9781844	0	2.6674158	 	 	 
0.9898844	1	 	 	 	 
1.001184	0	 	 	 	 
1.0127836	1	 	 	 	 
1.0239208	0	 	 	 	 
1.0352836	1	 	 	 	 
1.0462916	0	 	 	 	 
1.0575844	1	 	 	 	 
1.0684836	0	 	 	 	 
1.079596	1	 	 	 	 
1.0903844	0	 	 	 	 
1.1014876	1	 	 	 	 
1.1121048	0	 	 	 	 
1.1231304	1	 	 	 	 
1.1337844	0	 	 	 	 
1.1444208	1	 	 	 	 
1.154884	0	 	 	 	 
1.165484	1	 	 	 	 
1.1756968	0	 	 	 	 
1.1861004	1	 	 	 	 
1.196184	0	 	 	 	 
1.2064836	1	 	 	 	 
1.2163836	0	 	 	 	 
1.226484	1	 	 	 	 
1.236484	0	 	 	 	 
1.246984	1	 	 	 	 
1.2571836	0	 	 	 	 
1.267784	1	 	 	 	 
1.2781836	0	 	 	 	 
1.2889116	1	 	 	 	 
1.2993836	0	 	 	 	 
1.310284	1	 	 	 	 
1.3207844	0	 	 	 	 
1.3317976	1	 	 	 	 
1.3425192	0	 	 	 	 
1.3534856	1	 	 	 	 
1.364284	0	 	 	 	 
1.375284	1	 	 	 	 
1.38593	0	 	 	 	 
1.3968836	1	 	 	 	 
1.4074844	0	 	 	 	 
1.418284	1	 	 	 	 
1.428818	0	 	 	 	 
1.439882	1	 	 	 	 
1.4506268	0	 	 	 	 
1.462294	1	 	 	 	 
1.4766912	0	 	 	 	 
1.5219848	1	 	 	 	 
1.571984	0	 	 	 	 
1.6558888	1	 	 	 	 
1.7376308	0	 	 	 	 
1.8265236	1	 	 	 	 
1.9174168	0	 	 	 	 
2.0163168	1	 	 	 	 
2.119184	0	 	 	 	 
2.2428196	1	 	 	 	 
2.409084	0	 	 	 	 
3.092012	1	 	 	 	 
3.307684	0	 	 	 	 
