Vernier Format 2
RKE_withMass.cmbl 3/20/2024 20:39:57 .
Latest
Time	GateState	STime	SDist	SVel	SAccel
t	State	stime	sdist	svel	saccel
s		s	m	m/s	m/s^2

0.029384	1	0.0427838	0	 	 
0.0424832	0	0.0693062	0.015	0.570172896196	0.347873370312
0.0561836	1	0.0954062	0.03	0.578333510207	0.277461036726
0.0689892	0	0.1211834	0.045	0.586264593268	0.337895407034
0.0824288	1	0.1465832	0.06	0.595183810477	0.36441069052
0.0950836	0	0.171594	0.075	0.604109400894	0.349328207687
0.1083836	1	0.1962482	0.09	0.611736275126	0.269379698589
0.1208108	0	0.2206376	0.105	0.619399247453	0.359005774349
0.1339832	1	0.244687	0.12	0.628975134996	0.437345697437
0.1462276	0	0.2683408	0.135	0.639046166321	0.414190320104
0.1591832	1	0.2916374	0.15	0.649485445473	0.482015920429
0.1712892	0	0.314538	0.165	0.658645143013	0.317936704399
0.1840048	1	0.3371882	0.18	0.665271802178	0.267193595948
0.1959008	0	0.3596342	0.195	0.67199965128	0.332276162789
0.2084916	1	0.3818338	0.21	0.67876685794	0.277393079876
0.2202812	0	0.4038338	0.225	0.684960069464	0.285626149645
0.2327836	1	0.4256338	0.24	0.691741750999	0.336546468216
0.2443832	0	0.447205	0.255	0.698822991119	0.31999930764
0.2565904	1	0.4685652	0.27	0.706117174452	0.362970265035
0.2680832	0	0.4896934	0.285	0.715424165502	0.518031528788
0.2800912	1	0.5105032	0.3	0.72588210145	0.487065679987
0.291384	0	0.5310264	0.315	0.733453291108	0.250751975926
0.3031836	1	0.5514066	0.33	0.737889861103	0.184628441874
0.3142832	0	0.5716834	0.345	0.743637613082	0.382300459959
0.3258924	1	0.591751	0.36	0.750630571757	0.314639749711
0.3368948	0	0.6116512	0.375	0.756016030942	0.226606989961
0.348484	1	0.6314334	0.39	0.760820563201	0.259135976864
0.3592836	0	0.6510832	0.405	0.767027338644	0.372603322612
0.3707844	1	0.6705472	0.42	0.774960825405	0.442592604265
0.3815836	0	0.6897972	0.435	0.783616834585	0.456733024809
0.3928832	1	0.7088336	0.45	0.792949178713	0.523740607681
0.4035256	0	0.7276336	0.465	0.801102488196	0.343632741512
0.4147844	1	0.7462832	0.48	0.806471847192	0.232182181713
0.4252832	0	0.7648332	0.495	0.81140871434	0.300094599728
0.4364832	1	0.7832568	0.51	0.816927373307	0.298991243096
0.4468832	0	0.801557	0.525	0.822212845828	0.278649713957
0.4579268	1	0.8197444	0.54	0.826742838249	0.219496521459
0.468284	0	0.8378444	0.555	0.831293956942	0.283389521955
0.4792036	1	0.8558334	0.57	0.83808757566	0.471918579455
0.4894836	0	0.873642	0.585	0.845848248706	0.399646063051
0.5001832	1	0.891302	0.6	0.853495290309	0.466383563517
0.5102836	0	0.9087932	0.615	0.86115321583	0.40924824238
0.5208232	1	0.9261402	0.63	0.86461811479	-0.00976718399193
0.5307832	0	0.9434906	0.645	0.865965533837	0.165085683509
0.5412296	1	0.9607838	0.66	0.871029321927	0.420553537699
0.551116	0	0.9779338	0.675	0.876834770264	0.256466676512
0.5615836	1	0.9949982	0.69	0.879404681157	0.0447347595993
0.5713836	0	1.0120478	0.705	0.880982892541	0.140397018721
0.5817832	1	1.0290512	0.72	0.886210306424	0.474469876482
0.5914832	0	1.0459012	0.735	0.895849265128	0.669620177329
0.6017188	1	1.0625416	0.75	0.908983363297	0.90895944445
0.6113836	0	1.0789096	0.765	0.922532378812	0.746589860906
