Vernier Format 2
expT_PEND.cmbl 4/3/2024 20:17:14 .
Latest
Time	GateState	Measurement Number	Period
t	State	Number	Per
s		#	s

0	1	1	0.867896
0.0153888	0	2	0.8006748
0.4072712	1	3	0.8841268
0.4264168	0	4	0.7974776
0.867896	1	5	0.8742092
0.886572	0	6	0.8004272
1.2635092	1	7	0.8686592
1.2826712	0	8	0.8082
1.6685708	1	9	0.861816
1.6890776	0	10	0.8166864
2.0896068	1	11	0.8489008
2.1062044	0	12	0.8257328
2.5526976	1	13	0.8380696
2.5725708	0	14	0.8366416
2.9258164	1	15	0.8280592
2.9456092	0	16	0.8449008
3.3501752	1	17	0.8195408
3.37068	0	18	0.849808
3.7642184	1	19	0.8146672
3.7837748	0	20	0.8531888
4.2243844	1	21	0.8121136
4.2450708	0	22	0.8535888
4.5913108	1	23	0.8108
4.6153708	0	24	0.8536
5.0248116	1	25	0.8102016
5.0456044	0	26	0.8533024
5.4439712	1	27	0.8102224
5.4654844	0	28	0.8517792
5.8934708	1	29	0.8113008
5.9178712	0	30	0.8495024
6.2613716	1	31	0.813304
6.2858708	0	32	0.845816
6.7016708	1	33	0.8166848
6.7254708	0	34	0.8420992
7.1175756	1	35	0.8202048
7.1398716	0	36	0.8369952
7.5634868	1	37	0.8236
7.5896716	0	38	0.8335008
7.9284724	1	39	0.8256992
7.9537724	0	40	0.8308096
8.3801732	1	41	0.8283936
8.4047732	0	42	0.8283968
8.7884828	1	43	0.8304032
8.8139084	0	44	0.8262432
9.229074	1	45	0.8322592
9.256518	0	46	0.8245984
9.5953748	1	47	0.8336992
9.6236028	0	48	0.8232224
10.0548068	1	49	0.8346784
10.0811756	0	50	0.8223968
10.4579988	1	 	0.8353056
10.4857156	0	 	0.8218304
10.8928764	1	 	0.8356032
10.923078	0	 	0.8216576
11.2647764	1	 	0.8356032
11.2942764	0	 	0.8217024
11.729518	1	 	0.835408
11.7585804	0	 	0.8216448
12.1233772	1	 	0.8350784
12.1529764	0	 	0.8223008
12.5575772	1	 	0.8344896
12.5897772	0	 	0.8229024
12.933198	1	 	0.8339904
12.9636772	0	 	0.823328
13.402478	1	 	0.8331776
13.4329788	0	 	0.8240064
13.7852188	1	 	 
13.8175116	0	 	 
14.2220188	1	 	 
14.2553804	0	 	 
14.6008076	1	 	 
14.6329804	0	 	 
15.0718268	1	 	 
15.1046172	0	 	 
15.446382	1	 	 
15.481182	0	 	 
15.886494	1	 	 
15.921782	0	 	 
16.2676828	1	 	 
16.3010828	0	 	 
16.7396828	1	 	 
16.7744908	0	 	 
17.1066124	1	 	 
17.1433276	0	 	 
17.5517964	1	 	 
17.5883004	0	 	 
17.9322044	1	 	 
17.9670988	0	 	 
18.4053852	1	 	 
18.4421164	0	 	 
18.766198	1	 	 
18.8053852	0	 	 
19.2161852	1	 	 
19.2540844	0	 	 
19.5955852	1	 	 
19.6325004	0	 	 
20.0697852	1	 	 
20.10891	0	 	 
20.4254876	1	 	 
20.4666876	0	 	 
20.8799868	1	 	 
20.9197084	0	 	 
21.2579884	1	 	 
21.2963884	0	 	 
21.7332892	1	 	 
21.7743948	0	 	 
22.0838252	1	 	 
22.126798	0	 	 
22.5435116	1	 	 
22.5845932	0	 	 
22.919502	1	 	 
22.959702	0	 	 
23.3952908	1	 	 
23.4386316	0	 	 
23.7417004	1	 	 
23.7866908	0	 	 
24.2065916	1	 	 
24.2492924	0	 	 
24.5802924	1	 	 
24.6223932	0	 	 
25.056094	1	 	 
25.101494	0	 	 
25.3995388	1	 	 
25.4462172	0	 	 
25.869398	1	 	 
25.9136956	0	 	 
26.2401964	1	 	 
26.2842972	0	 	 
26.715214	1	 	 
26.7627436	0	 	 
27.0575276	1	 	 
27.1058156	0	 	 
27.5318988	1	 	 
27.5778988	0	 	 
27.8989004	1	 	 
27.9450988	0	 	 
28.373998	1	 	 
28.4233964	0	 	 
28.7145964	1	 	 
28.7644972	0	 	 
29.1942028	1	 	 
29.241838	0	 	 
29.556238	1	 	 
29.6045964	0	 	 
30.031198	1	 	 
30.0820396	0	 	 
30.3718988	1	 	 
30.4231436	0	 	 
30.854798	1	 	 
30.903998	0	 	 
31.2129996	1	 	 
31.2633036	0	 	 
31.6882988	1	 	 
31.7406988	0	 	 
32.0291212	1	 	 
32.0814988	0	 	 
32.513998	1	 	 
32.5644044	0	 	 
32.8697004	1	 	 
32.921102	0	 	 
33.3448076	1	 	 
33.3980012	0	 	 
33.6864012	1	 	 
33.7393004	0	 	 
34.1732012	1	 	 
34.224526	0	 	 
34.5258252	1	 	 
34.5782988	0	 	 
35.001598	1	 	 
35.0553292	0	 	 
35.343614	1	 	 
35.397022	0	 	 
35.8320012	1	 	 
35.884302	0	 	 
36.1818284	1	 	 
36.2353356	0	 	 
36.6582444	1	 	 
36.7126316	0	 	 
37.0009036	1	 	 
37.0549164	0	 	 
37.4905036	1	 	 
37.543806	0	 	 
37.8376108	1	 	 
37.8921356	0	 	 
38.315102	1	 	 
38.3701068	0	 	 
38.6581004	1	 	 
38.7128012	0	 	 
39.1488012	1	 	 
39.2030188	0	 	 
39.4933132	1	 	 
39.5488044	0	 	 
39.9720236	1	 	 
40.0277196	0	 	 
40.3153036	1	 	 
40.3706028	0	 	 
40.806702	1	 	 
40.8619372	0	 	 
41.1489068	1	 	 
41.205342	0	 	 
41.6290988	1	 	 
41.6854124	0	 	 
41.9724396	1	 	 
42.0283212	0	 	 
42.4644044	1	 	 
42.5205004	0	 	 
42.8044268	1	 	 
42.8617996	0	 	 
43.2862348	1	 	 
43.3432204	0	 	 
43.6294124	1	 	 
43.6859084	0	 	 
44.121838	1	 	 
44.1788236	0	 	 
44.4600396	1	 	 
44.5182988	0	 	 
44.9434956	1	 	 
45.001102	0	 	 
45.2862988	1	 	 
45.3434988	0	 	 
45.7790988	1	 	 
45.8369996	0	 	 
46.1157004	1	 	 
46.1746476	0	 	 
46.6008012	1	 	 
46.6590028	0	 	 
46.9429036	1	 	 
47.00083	0	 	 
47.4362092	1	 	 
47.4949356	0	 	 
47.77131	1	 	 
47.831006	0	 	 
48.257854	1	 	 
48.3166092	0	 	 
48.6000076	1	 	 
48.6587084	0	 	 
49.0929324	1	 	 
49.1526092	0	 	 
49.426718	1	 	 
49.48731	0	 	 
49.9152332	1	 	 
49.9749388	0	 	 
50.2563116	1	 	 
50.3158508	0	 	 
50.7497228	1	 	 
50.8103148	0	 	 
51.082526	1	 	 
51.1438156	0	 	 
51.5726252	1	 	 
51.6330156	0	 	 
51.9125164	1	 	 
51.9727148	0	 	 
52.4066156	1	 	 
52.4680172	0	 	 
52.7381516	1	 	 
52.7999404	0	 	 
53.2299436	1	 	 
53.2908204	0	 	 
53.5689196	1	 	 
53.6297196	0	 	 
54.0631212	1	 	 
54.125022	0	 	 
54.3938412	1	 	 
54.4563692	0	 	 
54.8871276	1	 	 
54.9485548	0	 	 
Vernier Format 2
expT_PEND.cmbl 4/3/2024 20:17:14 .
Run 1
Measurement Number
Number
#

1
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19
20
21
22
23
24
25
26
27
28
29
30
31
32
33
34
35
36
37
38
39
40
41
42
43
44
45
46
47
48
49
50
